ANO;Índice de Desenvolvimento Humano 2010;Desigualdade de Renda;Educação Compulsória;Expectativa de Vida;Mortalidade antes dos 5 Anos;Município;Número de registros;População;Proporção de Educação Universitária;Região;Renda Per Capita;Rendimento de Trabalho;Taxa de Dependência;Unidade Federativa;Índice de Desenvolvimento Humano;Índice de Educação;Índice de Longevidade;Índice de Renda
1991;0;0,62;9,48;68,87;0,03175;Brasília;1;1553351;0,1171;Centro-Oeste;916;85,92;0,5701;Distrito Federal;0,616;0,419;0,731;0,762
2000;0;0,63;10,07;73,86;0,02404;Brasília;1;2010067;0,0744;Centro-Oeste;1199,44;76,87;0,4649;Distrito Federal;0,725;0,582;0,814;0,805
2010;0,824;0,63;9,87;77,35;0,01585;Brasília;1;2543802;0,0431;Centro-Oeste;1715,11;76,63;0,4014;Distrito Federal;0,824;0,742;0,873;0,863
1991;0;0,53;7,68;64,48;0,03568;Acreúna;1;14032;0,301;Centro-Oeste;331,6;94,18;0,6095;Goiás;0,429;0,2;0,658;0,599
2000;0;0,57;8,78;71,96;0,02681;Acreúna;1;18234;0,2322;Centro-Oeste;500,67;83,71;0,5224;Goiás;0,571;0,358;0,783;0,665
2010;0,686;0,53;9,78;74,29;0,01672;Acreúna;1;19925;0,183;Centro-Oeste;664,09;85,21;0,452;Goiás;0,686;0,553;0,822;0,71
1991;0;0,57;5,68;65,04;0,03395;Águas Lindas De Goiás;1;2336;0,3452;Centro-Oeste;335,23;94,57;0,766;Goiás;0,387;0,145;0,667;0,6
2000;0;0,45;7,26;70,74;0,02919;Águas Lindas De Goiás;1;104091;0,1622;Centro-Oeste;300,59;86,32;0,6666;Goiás;0,497;0,277;0,762;0,583
2010;0,686;0,43;9,3;75,85;0,01379;Águas Lindas De Goiás;1;158508;0,0922;Centro-Oeste;449,38;85,79;0,5192;Goiás;0,686;0,588;0,848;0,647
1991;0;0,51;7,92;63,83;0,043;Alexânia;1;16353;0,3907;Centro-Oeste;215,34;84,38;0,7146;Goiás;0,378;0,158;0,647;0,529
2000;0;0,54;8,15;69,07;0,03426;Alexânia;1;20250;0,2358;Centro-Oeste;335,05;75,96;0,5834;Goiás;0,52;0,318;0,735;0,6
2010;0,682;0,46;8,84;75,48;0,01481;Alexânia;1;23686;0,1473;Centro-Oeste;498,09;75,1;0,5152;Goiás;0,682;0,568;0,841;0,664
